Strain : Axial Gauge Length (Strain Source),2,in,
Strain : Time at Removal (Strain Source),,ms,
,,,
Time,Extension,Load,Strain 1
(sec),(in),(lbf),(%)
48.1,0.08016,"8,259.62",0.41127
48.2,0.08033,"8,284.23",0.41276
48.3,0.0805,"8,309.89",0.41433
48.4,0.08066,"8,334.54",0.41572
48.5,0.08083,"8,358.41",0.41721
48.6,0.081,"8,384.50",0.41879
48.7,0.08116,"8,407.89",0.42033
48.8,0.08133,"8,433.40",0.42199
48.9,0.08149,"8,457.70",0.42363
49,0.08166,"8,481.94",0.42524
49.1,0.08183,"8,506.73",0.42692
49.2,0.08199,"8,530.54",0.42858
49.3,0.08217,"8,555.00",0.43031
49.4,0.08233,"8,578.50",0.43205
49.5,0.0825,"8,602.19",0.43377
49.6,0.08266,"8,625.97",0.43557
49.7,0.08283,"8,649.33",0.43755
49.8,0.083,"8,673.44",0.43951
49.9,0.08316,"8,696.87",0.44147
50,0.08333,"8,719.44",0.44346
50.1,0.08349,"8,742.60",0.44548
50.2,0.08366,"8,764.66",0.44744
50.3,0.08383,"8,788.06",0.44956
50.4,0.08399,"8,809.93",0.45156
50.5,0.08417,"8,832.51",0.45369
50.6,0.08433,"8,854.82",0.45597
50.7,0.08449,"8,875.78",0.45816
50.8,0.08466,"8,897.89",0.4606
50.9,0.08483,"8,918.37",0.46301
51,0.085,"8,940.58",0.46551
51.1,0.08517,"8,961.72",0.46802
51.2,0.08533,"8,981.71",0.47049
51.3,0.0855,"9,002.66",0.4731
51.4,0.08566,"9,021.98",0.47559
51.5,0.08583,"9,042.14",0.47819
51.6,0.086,"9,063.07",0.48105
51.7,0.08616,"9,081.80",0.48392
51.8,0.08633,"9,101.10",0.48695
51.9,0.08649,"9,119.67",0.48991
52,0.08666,"9,138.37",0.49296
52.1,0.08683,"9,156.70",0.49602
52.2,0.087,"9,174.64",0.49936
52.3,0.08717,"9,192.16",0.50275
52.4,0.08733,"9,208.43",0.50618
52.5,0.0875,"9,225.00",0.5097
52.6,0.08766,"9,240.55",0.51326
52.7,0.08783,"9,256.28",0.51704
52.8,0.088,"9,272.02",0.52113
52.9,0.08816,"9,284.84",0.52528
53,0.08833,"9,298.92",0.52956
53.1,0.0885,"9,311.39",0.53379
53.2,0.08866,"9,323.34",0.5382
53.3,0.08883,"9,335.59",0.54297
53.4,0.089,"9,345.90",0.54795
53.5,0.08917,"9,356.27",0.55299
53.6,0.08933,"9,364.93",0.55812
53.7,0.0895,"9,373.17",0.56327
53.8,0.08967,"9,382.34",0.56878
53.9,0.08983,"9,389.63",0.57434
54,0.08999,"9,396.64",0.58008
54.1,0.09016,"9,402.72",0.58598
54.2,0.09033,"9,408.89",0.59191
54.3,0.0905,"9,415.05",0.59788
54.4,0.09067,"9,420.59",0.60409
54.5,0.09084,"9,425.96",0.6106
54.6,0.091,"9,429.36",0.61687
54.7,0.09116,"9,433.97",0.62313
54.8,0.09133,"9,438.12",0.62965
54.9,0.0915,"9,442.47",0.63623
55,0.09167,"9,447.02",0.64289
55.1,0.09183,"9,449.68",0.6496
55.2,0.092,"9,453.00",0.65613
55.3,0.09216,"9,455.94",0.66277
55.4,0.09233,"9,459.10",0.66954
55.5,0.0925,"9,463.15",0.67648
55.6,0.09267,"9,465.60",0.68316
55.7,0.09284,"9,468.65",0.69005
55.8,0.093,"9,470.51",0.69709
55.9,0.09316,"9,472.80",0.70374
56,0.09333,"9,476.49",0.71073
56.1,0.0935,"9,479.11",0.71769
56.2,0.09367,"9,482.42",0.72471
56.3,0.09383,"9,483.42",0.73184
56.4,0.094,"9,485.88",0.73872
56.5,0.09416,"9,488.53",0.74576
56.6,0.09433,"9,490.17",0.75281
56.7,0.0945,"9,493.63",0.75993
56.8,0.09466,"9,494.97",0.76711
56.9,0.09483,"9,496.73",0.7742
57,0.095,"9,499.44",0.78143
57.1,0.09516,"9,500.90",0.78847
57.2,0.09533,"9,503.69",0.79571
57.3,0.0955,"9,505.15",0.80302
57.4,0.09567,"9,506.57",0.81025
57.5,0.09583,"9,508.70",0.81756
57.6,0.096,"9,510.12",0.82453
57.7,0.09617,"9,512.98",0.83198
57.8,0.09633,"9,514.46",0.83919
57.9,0.0965,"9,515.76",0.84648
58,0.09666,"9,517.40",0.85373
58.1,0.09683,"9,518.72",0.86093
58.2,0.097,"9,521.37",0.86822
58.3,0.09716,"9,522.98",0.87545
58.4,0.09734,"9,525.18",0.88288
58.5,0.0975,"9,525.95",0.89021
58.6,0.09766,"9,526.97",0.89742
58.7,0.09783,"9,529.61",0.90461
58.8,0.098,"9,530.49",0.91191
58.9,0.09817,"9,533.12",0.91944
59,0.09833,"9,534.29",0.92681
59.1,0.0985,"9,535.42",0.93393
59.2,0.09866,"9,537.00",0.94132
59.3,0.09883,"9,538.29",0.94854
59.4,0.099,"9,540.71",0.95592
59.5,0.09917,"9,542.57",0.96322
59.6,0.09934,"9,543.80",0.97064
59.7,0.0995,"9,545.21",0.9781
59.8,0.09966,"9,545.94",0.9854
59.9,0.09983,"9,547.92",0.99249
60,0.1,"9,549.57",0.99994
